atomic_number,energy,f1,f2
"10",2229.85,10.3976,0.984136
"10",2265.92,10.3969,0.95677
"10",2302.57,10.3958,0.930103
"10",2339.81,10.3944,0.904127
"10",2377.66,10.3927,0.878825
"10",2416.11,10.3907,0.854188
"10",2455.19,10.3885,0.830187
"10",2494.9,10.386,0.806817
"10",2535.26,10.3833,0.784061
"10",2576.26,10.3804,0.761901
"10",2617.93,10.3774,0.740321
"10",2660.27,10.3741,0.71932
"10",2703.3,10.3707,0.69887
"10",2747.03,10.3671,0.678965
"10",2791.46,10.3634,0.659589
"10",2836.61,10.3596,0.640726
"10",2882.49,10.3557,0.622378
"10",2929.11,10.3516,0.604504
"10",2976.48,10.3475,0.587115
"10",3024.63,10.3433,0.570193
"10",3073.55,10.339,0.553728
"10",3123.26,10.3347,0.537703
"10",3173.78,10.3303,0.522116
"10",3225.11,10.3259,0.506956
"10",3277.27,10.3214,0.492196
"10",3330.28,10.3169,0.477824
"10",3384.15,10.3124,0.463861
"10",3438.88,10.3078,0.450268
"10",3494.5,10.3032,0.437039
"10",3551.02,10.2986,0.42418
"10",3608.46,10.294,0.41166
"10",3666.82,10.2894,0.399495
"10",3726.13,10.2848,0.387646
"10",3786.4,10.2802,0.376136
"10",3847.64,10.2756,0.364929
"10",3909.87,10.2711,0.354038
"10",3973.11,10.2665,0.343434
"10",4037.38,10.262,0.333068
"10",4102.68,10.2574,0.323058
"10",4169.03,10.2529,0.313321
"10",4236.46,10.2483,0.303851
"10",4304.98,10.2439,0.294663
"10",4374.62,10.2394,0.285729
"10",4445.37,10.235,0.27704
"10",4517.27,10.2306,0.268603
"10",4590.33,10.2263,0.260404
"10",4664.58,10.222,0.252455
"10",4740.03,10.2177,0.244712
"10",4816.69,10.2135,0.237208
"10",4894.6,10.2093,0.22992
"10",4973.77,10.2052,0.222838
"10",5054.21,10.2011,0.215963
"10",5135.96,10.197,0.209289
"10",5219.03,10.193,0.202809
"10",5303.44,10.1891,0.196519
"10",5389.22,10.1852,0.190412
"10",5476.39,10.1813,0.184485
"10",5564.97,10.1775,0.178735
"10",5654.98,10.1738,0.173151
"10",5746.44,10.1701,0.167735
"10",5839.39,10.1664,0.162478
"10",5933.83,10.1628,0.157379
"10",6029.81,10.1593,0.152431
"10",6127.33,10.1558,0.147632
"10",6226.44,10.1524,0.142974
"10",6327.15,10.149,0.138457
"10",6429.48,10.1457,0.134077
"10",6533.48,10.1424,0.129827
"10",6639.15,10.1392,0.125706
"10",6746.54,10.136,0.121709
"10",6855.65,10.1329,0.117834
"10",6966.54,10.1298,0.114074
"10",7079.22,10.1268,0.110431
"10",7193.72,10.1239,0.106898
"10",7310.07,10.121,0.103474
"10",7428.31,10.1181,0.100154
"10",7548.45,10.1153,0.096935
"10",7670.54,10.1126,0.093814
"10",7794.61,10.1099,0.0907908
"10",7920.68,10.1072,0.0878584
"10",8048.79,10.1046,0.085018
"10",8178.98,10.1021,0.0822656
"10",8311.26,10.0996,0.0795985
"10",8445.69,10.0971,0.0770135
"10",8582.29,10.0947,0.074508
"10",8721.11,10.0923,0.0720825
"10",8862.16,10.09,0.0697322
"10",9005.5,10.0878,0.0674551
"10",9151.16,10.0855,0.0652458
"10",9299.17,10.0834,0.0631096
"10",9449.58,10.0812,0.0610392
"10",9602.42,10.0791,0.0590324
"10",9757.73,10.0771,0.0570907
"10",9915.55,10.0751,0.0552107
"10",10075.9,10.0731,0.0533891
"10",10238.9,10.0712,0.0516251
"10",10404.5,10.0693,0.0499169
"10",10572.8,10.0675,0.048263
"10",10743.8,10.0657,0.0466616
"10",10917.6,10.0639,0.0451112
"10",11094.2,10.0622,0.0436103
"10",11273.6,10.0605,0.0421572
"10",11455.9,10.0588,0.0407507
"10",11641.2,10.0572,0.0393893
"10",11829.5,10.0556,0.0380715
"10",12020.8,10.0541,0.0367961
"10",12215.3,10.0526,0.0355617
"10",12412.8,10.0511,0.0343672
"10",12613.6,10.0496,0.0332113
"10",12817.6,10.0482,0.0320928
"10",13025,10.0468,0.0310105
"10",13235.6,10.0455,0.0299634
"10",13449.7,10.0442,0.0289504
"10",13667.2,10.0429,0.0279703
"10",13888.3,10.0416,0.0270223
"10",14112.9,10.0404,0.0261052
"10",14341.2,10.0392,0.0252182
"10",14573.1,10.038,0.0243603
"10",14808.9,10.0369,0.0235306
"10",15048.4,10.0357,0.0227282
"10",15291.8,10.0346,0.0219522
"10",15539.1,10.0336,0.021202
"10",15790.4,10.0325,0.0204765
"10",16045.8,10.0315,0.0197751
"10",16305.4,10.0305,0.019097
"10",16569.1,10.0295,0.0184415
"10",16837.1,10.0286,0.0178078
"10",17109.4,10.0277,0.0171953
"10",17386.1,10.0268,0.0166034
"10",17667.4,10.0259,0.0160312
"10",17953.1,10.025,0.0154784
"10",18243.5,10.0242,0.0149441
"10",18538.6,10.0234,0.0144279
"10",18838.4,10.0226,0.0139291
"10",19143.1,10.0218,0.0134472
"10",19452.7,10.021,0.0129817
"10",19767.4,10.0203,0.012532
"10",20087.1,10.0195,0.0121005
"10",20412,10.0188,0.0116811
"10",20742.1,10.0182,0.0112763
"10",21077.6,10.0175,0.0108855
"10",21418.5,10.0168,0.0105083
"10",21765,10.0162,0.0101442
"10",22117,10.0156,0.0097927
"10",22474.7,10.015,0.00945338
"10",22838.2,10.0144,0.00912581
"10",23207.6,10.0138,0.00880958
"10",23583,10.0132,0.00850428
"10",23964.4,10.0127,0.00820956
"10",24352,10.0122,0.00792501
"10",24745.9,10.0117,0.00765031
"10",25146.2,10.0112,0.00738508
"10",25552.9,10.0107,0.00712903
"10",25966.2,10.0102,0.00688181
"10",26386.1,10.0097,0.00664311
"10",26812.9,10.0093,0.00641266
"10",27246.6,10.0088,0.00619014
"10",27687.3,10.0084,0.00597531
"10",28135.1,10.008,0.00576787
"10",28590.2,10.0076,0.00556759
"10",29052.6,10.0072,0.0053742
"10",29522.5,10.0068,0.00518748
"10",30000,10.0064,0.00500718
"48",10,-9999,0.400039
"48",10.1617,-9999,0.418419
"48",10.3261,-9999,0.437644
"48",10.4931,-9999,0.457752
"48",10.6628,-9999,0.493615
"48",10.8353,-9999,0.536851
"48",11.0106,-9999,0.592578
"48",11.1886,-9999,0.663282
"48",11.3696,-9999,0.74242
"48",11.5535,-9999,0.861255
"48",11.7404,-9999,0.993746
"48",11.9303,-9999,1.04408
"48",12.1232,-9999,1.09696
"48",12.3193,-9999,1.15252
"48",12.5186,-9999,1.2109
"48",12.721,-9999,1.27223
"48",12.9268,-9999,1.317
"48",13.1359,-9999,1.35518
"48",13.3483,-9999,1.39447
"48",13.5642,-9999,1.4349
"48",13.7836,-9999,1.46675
"48",14.0066,-9999,1.49503
"48",14.2331,-9999,1.52386
"48",14.4633,-9999,1.55324
"48",14.6973,-9999,1.58319
"48",14.935,-9999,1.61386
"48",15.1765,-9999,1.65189
"48",15.422,-9999,1.69082
"48",15.6714,-9999,1.73068
"48",15.9249,-9999,1.77146
"48",16.1825,-9999,1.81322
"48",16.4442,-9999,1.85595
"48",16.7102,-9999,1.89969
"48",16.9805,-9999,1.94447
"48",17.2551,-9999,1.9903
"48",17.5342,-9999,2.0372
"48",17.8178,-9999,2.08522
"48",18.106,-9999,2.13437
"48",18.3989,-9999,2.18467
"48",18.6964,-9999,2.23616
"48",18.9988,-9999,2.30335
"48",19.3061,-9999,2.383
"48",19.6184,-9999,2.46541
"48",19.9357,-9999,2.55067
"48",20.2582,-9999,2.63888
"48",20.5858,-9999,2.73013
"48",20.9188,-9999,2.82455
"48",21.2571,-9999,2.93634
"48",21.6009,-9999,3.06457
"48",21.9503,-9999,3.19841
"48",22.3053,-9999,3.33808
"48",22.6661,-9999,3.48385
"48",23.0327,-9999,3.63599
"48",23.4053,-9999,3.79478
"48",23.7838,-9999,3.9605
"48",24.1685,-9999,4.10362
"48",24.5594,-9999,4.24965
"48",24.9566,-9999,4.40088
"48",25.3603,-9999,4.55749
"48",25.7705,-9999,4.71967
"48",26.1873,-9999,4.88762
"48",26.6109,-9999,5.06155
"48",27.0413,-9999,5.21645
"48",27.4786,-9999,5.37271
"48",27.9231,-9999,5.53366
"48",28.3747,-9999,5.69942
"48",28.8337,-9999,5.87016
"48",29.3,1.92132,6.046
"48",29.7739,1.9587,6.22712
"48",30.2555,2.00347,6.41366
"48",30.7449,2.05887,6.60579
"48",31.2421,2.13188,6.80368
"48",31.7475,2.22995,6.97608
"48",32.2609,2.30955,7.13371
"48",32.7827,2.38386,7.29491
"48",33.313,2.4575,7.45974
"48",33.8518,2.53262,7.6283
"48",34.3993,2.61077,7.80067
"48",34.9557,2.69354,7.97693
"48",35.5211,2.78329,8.15718
"48",36.0956,2.88673,8.3415
"48",36.6794,2.9981,8.5037
"48",37.2727,3.10092,8.66572
"48",37.8755,3.20155,8.83082
"48",38.4882,3.30326,8.99907
"48",39.1107,3.4071,9.17052
"48",39.7432,3.5139,9.34524
"48",40.3861,3.62436,9.52329
"48",41.0393,3.73938,9.70474
"48",41.7031,3.85954,9.88864
"48",42.3776,3.98448,10.0757
"48",43.063,4.11523,10.2662
"48",43.7595,4.2528,10.4604
"48",44.4673,4.39831,10.6583
"48",45.1865,4.55323,10.8599
"48",45.9174,4.71968,11.0653
"48",46.66,4.90458,11.2746
"48",47.4147,5.12536,11.4757
"48",48.1816,5.33801,11.6323
"48",48.9609,5.53753,11.791
"48",49.7528,5.73522,11.9518
"48",50.5576,5.93432,12.1149
"48",51.3753,6.13673,12.2802
"48",52.2062,6.34396,12.4478
"48",53.0506,6.55752,12.6176
"48",53.9087,6.77962,12.7898
