atomic_number,mass,abundance,mass_number,mass_uncertainty,is_radioactive,half_life,half_life_unit,spin,g_factor,quadrupole_moment,parity,discovery_year,g_factor_uncertainty,abundance_uncertainty,half_life_uncertainty,quadrupole_moment_uncertainty
"9",31.061023,,"31",0.000574,"1",,msec,5/2,,,"+","1999",,,,
"10",31.033474816,,"31",0.000285772,"1",3.4,msec,3/2,,,"-","1996",,,0.8,
"11",31.013146654,,"31",1.5e-05,"1",16.8,msec,3/2,1.5366667509079,,"+","1969",0.0053333337418735,,0.3,
"12",30.996648232,,"31",3.3e-06,"1",270,msec,1/2,-1.7668000459671,0,"+","1977",0.000299999985145405,,2,0
"13",30.983949754,,"31",2.4e-06,"1",644,msec,5/2,1.53279995918274,0.13400000333786,"+","1971",0.0020000000949949,,25,0.0020000000949949
"14",30.975363196,,"31",4.6e-08,"1",157.16,minute,3/2,,,"+","1934",,,0.2,
"15",30.97376199768,100,"31",8e-10,"0",,,1/2,2.26185011863708,0,"+","1920",9.99999974737875e-06,0,,0
"16",30.979557002,,"31",2.46e-07,"1",2.5534,sec,1/2,0.975859999656677,0,"+","1940",0.00015999999595806,,0.0018,0
"17",30.992448097,,"31",3.7e-06,"1",190,msec,3/2,,,"+","1977",,,1,
"18",31.012158,,"31",0.000215,"1",15,msec,5/2,,,"+","1986",,,0.3,
"19",31.03678,,"31",0.000322,"1",,psec,3/2,,,"+","2019",,,,
"10",32.03972,,"32",0.00054,"1",3.5,msec,"0",0,0,"+","1990",0,,0.9,0
"11",32.020011024,,"32",4e-05,"1",12.9,msec,"3",,,"-","1972",,,0.3,
"12",31.999110138,,"32",3.5e-06,"1",80.4,msec,"0",0,0,"+","1977",0,,0.4,0
"13",31.988084338,,"32",7.7e-06,"1",32.6,msec,"1",1.95299994945526,0.0254999995231628,"+","1971",0.0020000000949949,,0.5,0.000299999985145405
"14",31.974151538,,"32",3.2e-07,"1",157,year,"0",0,0,"+","1953",0,,7,0
"15",31.973907643,,"32",4.2e-08,"1",14.269,day,"1",-0.252799987792969,,"+","1934",0.000199999994947575,,0.007,
"16",31.97207117354,94.85,"32",1.41e-09,"0",,,"0",0,0,"+","1920",0,2.55,,0
"17",31.985684605,,"32",6.03e-07,"1",298,msec,"1",1.11500000953674,,"+","1953",0.00600000005215406,,1,
"18",31.997637824,,"32",1.9e-06,"1",98,msec,"0",0,0,"+","1977",0,,2,0
"19",32.023607,,"32",0.000429,"0",,,"1",,,"+",,,,,
"10",33.049523,,"33",0.000644,"0",,,7/2,,,"-",,,,,
"11",33.025529,,"33",0.000483,"1",8.2,msec,3/2,,,"+","1972",,,0.4,
"12",33.005327862,,"33",2.859e-06,"1",92,msec,3/2,-0.497000008821487,0.129999995231628,"-","1979",0.000333333300659433,,1.2,0.0899999961256981
"13",32.990877685,,"33",7.5e-06,"1",41.46,msec,5/2,1.6360000371933,0.141000002622604,"+","1971",0.0020000000949949,,0.09,0.00300000002607703
"14",32.977976964,,"33",7.5e-07,"1",6.18,sec,3/2,0.806666672229767,,"+","1971",0.0199999995529652,,0.18,
"15",32.971725692,,"33",1.17e-06,"1",25.35,day,1/2,,0,"+","1951",,,0.11,0
"16",32.97145890862,0.763,"33",1.44e-09,"0",,,3/2,0.428833335638046,-0.694000005722046,"+","1926",1.33333332996699e-05,0.02,,0.00400000018998981
"17",32.977451988,,"33",4.19e-07,"1",2.5038,sec,3/2,0.503133356571198,,"+","1940",0.000199999994947575,,0.0022,
"18",32.989925545,,"33",4.3e-07,"1",173,msec,1/2,-1.44599997997284,0,"+","1964",0.0120000001043081,,2,0
"19",33.008095,,"33",0.000215,"0",,,3/2,,,"+",,,,,
"20",33.033312,,"33",0.000429,"0",,,5/2,,,"+",,,,,
"10",34.056728,,"34",0.000551,"1",,msec,"0",0,0,"+","2002",0,,,0
"11",34.03401,,"34",0.0006435,"1",5.5,msec,"1",,,"+","1983",,,1,
"12",34.008935455,,"34",7.4e-06,"1",44.9,msec,"0",0,0,"+","1979",0,,0.4,0
"13",33.996781924,,"34",2.259e-06,"1",53.73,msec,"4",0.539250016212463,,"-","1977",0.00400000018998981,,0.13,
"14",33.978538045,,"34",8.6e-07,"1",2.77,sec,"0",0,0,"+","1971",0,,0.2,0
"15",33.973645886,,"34",8.7e-07,"1",12.43,sec,"1",,,"+","1945",,,0.1,
"16",33.967867011,4.365,"34",4.7e-08,"0",,,"0",0,0,"+","1926",0,0.235,,0
