isotope_id,mode,relation,intensity,is_allowed_not_observed,is_observed_intensity_unknown
"530",2n, ,,"1",
"531",B-,=,100,,
"531",B-n, ,,"1",
"531",2n, ,,"1",
"532",B-,=,100,,
"532",B-n, ,,"1",
"533",B-,=,100,,
"533",B-n, ,,"1",
"534",B-,=,100,,
"535",B-,=,100,,
"537",B+,=,100,,
"537",e+,=,14.79,,
"537",EC,=,85.21,,
"538",2B+, ,,"1",
"539",B+,=,100,,
"540",B+,=,100,,
"540",B+p,=,0.7,,
"541",p, ,,"1",
"542",2p, ,,"1",
"543",B-, ,,"1",
"543",B-n, ,,"1",
"543",2n, ,,"1",
"544",B-, ,,"1",
"544",B-n, ,,"1",
"544",2n, ,,"1",
"545",B-, ,,"1",
"545",B-n, ,,"1",
"545",2n, ,,"1",
"546",B-,=,100,,
"546",B-n, ,,"1",
"546",2n, ,,"1",
"547",B-,=,100,,
"547",B-n,>,3,,
"548",B-,=,100,,
"549",B-,=,100,,
"550",B-,=,100,,
"552",B+,=,100,,
"553",B+,=,100,,
"554",B+,=,100,,
"554",B+p,=,0.1,,
"555",p, ,,"1",
"556",B+,~,100,,
"556",B+p,=,93,,
"556",2p,<,0.2,,
"557",B-, ,,"1",
"557",B-n, ,,"1",
"557",2n, ,,"1",
"558",B-, ,,"1",
"558",B-n, ,,"1",
"558",2n, ,,"1",
"559",B-,=,100,,
"559",B-n, ,,"1",
"559",2n, ,,"1",
"560",B-,=,100,,
"560",B-n, ,,"1",
"560",2n, ,,"1",
"561",B-,=,100,,
"561",B-n, ,,"1",
"562",B-,=,100,,
"563",B-,=,100,,
"564",B-,=,100,,
"566",B+,=,100,,
"567",B+,=,100,,
"568",B+,=,100,,
"568",B+p,=,1.6,,
"568",B+A,<,0.023,,
"569",B+,=,100,,
"569",B+p,~,100,,
"569",2p,<,14,,
"570",p, ,,"1",
"571",B-, ,,"1",
"571",B-n, ,,"1",
"571",2n, ,,"1",
"572",B-, ,,"1",
"572",B-n, ,,"1",
"572",2n, ,,"1",
"573",B-,=,100,,
"573",B-n, ,,"1",
"573",2n, ,,"1",
"574",B-,=,100,,
"574",B-n,=,14.5,,
"574",2n, ,,"1",
"575",B-,=,100,,
"575",B-n, ,,"1",
"576",B-,=,100,,
"576",B-n, ,,"1",
"577",B-,=,100,,
"578",B-,=,100,,
"580",B+,=,100,,
"581",B+,=,100,,
"582",B+,=,100,,
"582",B+p,<,0.25,,
"583",B+,=,100,,
"583",B+p,=,87,,
"584",p, ,,"1",
"585",B-, ,,"1",
"585",B-n, ,,"1",
"585",2n, ,,"1",
"586",B-, ,,"1",
"586",B-n, ,,"1",
"586",2n, ,,"1",
"587",B-,=,100,,
"587",B-n, ,,"1",
"587",2n, ,,"1",
"588",B-,=,100,,
"588",B-n, ,,"1",
"589",B-,=,100,,
"589",B-n, ,,"1",
"590",B-,=,100,,
"591",B-,=,100,,
"593",B+,=,100,,
"594",B+,=,100,,
"595",B+,=,100,,
"596",B+,=,100,,
"596",B+p, ,,"1",
"597",p, ,,"1",
"598",B-, ,,"1",
"598",B-n, ,,"1",
"598",2n, ,,"1",
"599",B-, ,,"1",
"599",B-n, ,,"1",
"599",2n, ,,"1",
"600",B-,=,100,,
"600",B-n,>,35,,
"600",2n, ,,"1",
"601",B-,=,100,,
"601",B-n, ,,"1",
"602",B-,=,100,,
"602",B-n,=,,,"1"
"603",B-,=,100,,
"604",B-,=,100,,
"605",B-,=,100,,
"607",B+,=,100,,
"608",B+,=,100,,
"609",B+,=,100,,
"609",B+p, ,,"1",
"610",p, ,,"1",
"611",B+,=,100,,
"611",B+p,=,89,,
"611",2p,<,0.5,,
"612",B-, ,,"1",
"612",B-n, ,,"1",
"612",2n, ,,"1",
"613",B-,=,100,,
"613",B-n, ,,"1",
"613",2n, ,,"1",
"614",B-,=,100,,
"614",B-n, ,,"1",
"615",B-,=,100,,
"615",B-n,=,2.7,,
"616",B-,=,100,,
"617",B-,=,100,,
"619",B+,=,61.52,,
"619",B-,=,38.48,,
"620",2B+, ,,"1",
"621",B+,=,100,,
"622",B+,=,100,,
"623",B+,=,100,,
"623",B+p, ,,"1",
"624",B+, ,,"1",
"624",B+p, ,,"1",
"625",B-, ,,"1",
"625",B-n, ,,"1",
"625",2n, ,,"1",
"626",B-, ,,"1",
"626",B-n, ,,"1",
"626",2n, ,,"1",
"627",B-,=,100,,
"627",B-n, ,,"1",
"627",2n, ,,"1",
"628",B-,=,100,,
"628",B-n,=,7.9,,
"629",B-,=,100,,
"629",B-n, ,,"1",
"630",B-,=,100,,
"631",B-,=,100,,
"633",B+,=,100,,
"634",B+,=,100,,
"635",B+,=,100,,
"635",B+p,=,0.011,,
"636",B+,=,100,,
"636",B+p, ,,"1",
"637",B+,=,100,,
"637",B+p,=,87,,
"638",p, ,,"1",
"639",B-, ,,"1",
"639",B-n, ,,"1",
"639",2n, ,,"1",
"640",B-,=,100,,
"640",B-n, ,,"1",
"640",2n, ,,"1",
"641",B-,=,100,,
