atomic_number,species_name,ion_charge,isoelectonic_sequence,ground_shells,ground_configuration,ground_level,ionized_level,ionization_energy,uncertainty,references,is_semi_empirical,is_theoretical
"84",Po LXXVII,"76",O,1s2.2s2.2p4,2p4,3P<2>,"2p2<1/2>.2p<3/2> (0,3/2)*<3/2>",21470,110,L8672c99,"0","1"
"84",Po LXXVIII,"77",N,1s2.2s2.2p3,2p2<1/2>.2p<3/2>,"(0,3/2)*<3/2>",2p2 3P<0>,21860,120,L8672c99,"0","1"
"84",Po LXXIX,"78",C,1s2.2s2.2p2,2p2,3P0,2p 2P*<1/2>,24860,120,L8672c99,"0","1"
"84",Po LXXX,"79",B,1s2.2s2.2p,2p,2P*<1/2>,2s2 1S<0>,25360,140,L8672c99,"0","1"
"84",Po LXXXI,"80",Be,1s2.2s2,2s2,1S0,2s 2S<1/2>,25990,150,L8672c99,"0","1"
"84",Po LXXXII,"81",Li,1s2.2s,2s,2S<1/2>,1s2 1S<0>,26390.4,0.4,L16264c99,"0","1"
"84",Po LXXXIII,"82",He,1s2,1s2,1S0,1s 2S<1/2>,105064.3,0.4,L21139,"0","1"
"84",Po LXXXIV,"83",H,1s,1s,2S<1/2>,,106983.4,0.5,L19200,"0","1"
"85",At I,"0",At,[Hg].6p5,6p5,2P*<3/2>,6p4 3P<2>,9.31751,8e-05,L18394,"0","0"
"85",At II,"1",Po,[Hg].6p4,6p4,3P<2>,6p3 4S*<3/2>,17.88,0.02,L15918,"1","0"
"85",At III,"2",Bi,[Hg].6p3,6p3,4S*<3/2>,6p2 3P<0>,26.58,0.05,L15918,"1","0"
"85",At IV,"3",Pb,[Hg].6p2,6p2,3P0,6p 2P*<1/2>,39.65,,L15918,"1","0"
"85",At V,"4",Tl,[Hg].6p,6p,2P*<1/2>,6s2 1S<0>,50.39,,L15918,"1","0"
"85",At VI,"5",Hg,[Xe].4f14.5d10.6s2,6s2,1S0,6s 2S<1/2>,72,2,L8672c99,"0","1"
"85",At VII,"6",Au,[Xe].4f14.5d10.6s,6s,2S<1/2>,5d10 1S<0>,85.1,2,L8672c99,"0","1"
"85",At VIII,"7",Pt,[Xe].4f14.5d10,"5d10",1S0,5d9 2D<5/2>,130.1,2.1,L8672c99,"0","1"
